"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2,404986930E-1;1,167000055E0;4,372000217E0;8,204999924E0;9,370074641E0
2,429878560E-1;1,105000019E0;4,343999863E0;8,223999977E0;9,366191087E0
2,454768560E-1;1,152999997E0;4,462999821E0;8,527999878E0;9,694047571E0
2,479660100E-1;1,138000011E0;4,561999798E0;8,552000046E0;9,759282298E0
2,504552400E-1;1,131000042E0;4,708000183E0;8,732000351E0;9,984600991E0
2,529442400E-1;1,116999984E0;4,796000004E0;8,895000458E0;1,016712045E1
2,554333940E-1;1,220000029E0;4,806000233E0;9,067000389E0;1,033424087E1
2,579227020E-1;1,200000048E0;4,896999836E0;9,251999855E0;1,053660803E1
2,604119330E-1;1,133000016E0;4,901999950E0;9,289999962E0;1,056491324E1
2,629014710E-1;1,259999990E0;4,975999832E0;9,347999573E0;1,066458018E1
2,653907020E-1;1,246000051E0;5,066999912E0;9,364000320E0;1,071967846E1
2,678801640E-1;1,493000031E0;5,100999832E0;9,510000229E0;1,089446432E1
2,703693940E-1;1,519000053E0;5,092999935E0;9,560999870E0;1,093886320E1
2,728586250E-1;1,687000036E0;5,092999935E0;9,769000053E0;1,114531200E1
2,753476250E-1;1,636000037E0;5,129000187E0;9,824000359E0;1,120241590E1
2,778370960E-1;1,695999980E0;5,175000191E0;1,001599979E1;1,140075852E1
2,803260960E-1;1,667000055E0;5,138999939E0;1,010400009E1;1,145770603E1
2,828152500E-1;1,726999998E0;5,068999767E0;1,007800007E1;1,141242187E1
2,853042500E-1;1,736999989E0;5,098000050E0;1,017599964E1;1,151337232E1
2,877934030E-1;1,889999986E0;5,000000000E0;1,023600006E1;1,154763167E1
2,902827070E-1;1,930999994E0;5,073999882E0;1,023600006E1;1,158662734E1
2,927718610E-1;1,980999947E0;4,975999832E0;1,039400005E1;1,169274015E1
2,952608610E-1;2,039999962E0;4,949999809E0;1,041100025E1;1,170696477E1
2,977503230E-1;2,052999973E0;4,949999809E0;1,036999989E1;1,167279764E1
3,002395530E-1;2,154000044E0;4,940000057E0;1,027700043E1;1,160431189E1
3,027288510E-1;2,230000019E0;4,843999863E0;1,019799995E1;1,150810314E1
3,052183130E-1;2,319000006E0;4,768000126E0;1,018299961E1;1,148063880E1
3,077076200E-1;2,411999941E0;4,722000122E0;9,951000214E0;1,127552367E1
3,101967740E-1;2,471999884E0;4,692999840E0;9,786000252E0;1,113107505E1
3,126857740E-1;2,464999914E0;4,643000126E0;9,578000069E0;1,092573842E1
3,151752030E-1;2,411999941E0;4,543000221E0;9,421999931E0;1,073455530E1
3,176647410E-1;2,509999990E0;4,568999767E0;9,189999580E0;1,056560226E1
3,201539720E-1;2,418999910E0;4,425000191E0;8,805999756E0;1,014779872E1
3,226432030E-1;2,421999931E0;4,350999832E0;8,373000145E0;9,741889685E0
3,251325100E-1;2,482000113E0;4,324999809E0;7,783999920E0;9,244274047E0
3,276217350E-1;2,500999928E0;4,230999947E0;7,277999878E0;8,782120667E0
3,301108890E-1;2,596999884E0;4,324999809E0;6,787000179E0;8,456559772E0
3,326004270E-1;2,637000084E0;4,237999916E0;6,336999893E0;8,066720547E0
3,350896580E-1;2,561000109E0;4,283999920E0;5,834000111E0;7,677690679E0
3,375789660E-1;2,522000074E0;4,237999916E0;5,527999878E0;7,408097618E0
3,400682020E-1;2,506000042E0;4,183000088E0;5,010000229E0;6,991253696E0
3,425574320E-1;2,457999945E0;4,044000149E0;4,693999767E0;6,665533343E0
3,450466630E-1;2,414999962E0;4,059000015E0;4,335000038E0;6,410922810E0
3,475358170E-1;2,391000032E0;3,976999998E0;3,868000031E0;6,041095462E0
3,500248170E-1;2,375999928E0;3,928999901E0;3,585000038E0;5,825344724E0
3,525142790E-1;2,323999882E0;3,805000067E0;3,316999912E0;5,557111604E0
3,550035860E-1;2,319000006E0;3,630000114E0;3,167999983E0;5,347044581E0
3,574930480E-1;2,332999945E0;3,493999958E0;3,125000000E0;5,236081498E0
3,599820480E-1;2,453000069E0;3,338000059E0;3,101000071E0;5,174519801E0
3,624712790E-1;2,263999939E0;3,012000084E0;3,328999996E0;5,027930111E0
